,Isotope,,Na23(MR),Mg26(MR),Al27(MR),P31(MR),S32(MR),Ca43(MR),Ti47(MR),V51(MR),Cr52(MR),Mn55(MR),Fe57(MR),Co59(MR),Ni61(MR),Zn66(MR),In115(MR),K39(HR),In115(HR)
Blank_T,Intensity AVG,[cps],132961.4,6576.7,120604.8,388.5,112313.8,3073.9,454.7,307.4,13759.4,44071.1,7411.4,784.6,131.9,6949.4,422643.9,73815,72024.1
BIR_S,Intensity AVG,[cps],95330739,30615111.9,388026179.3,40789.7,65842.7,2303854.7,5659355.5,3846186.8,3950375.5,15203774,30348364.9,982010.8,28270.5,75277.4,390792.2,85570.4,74445.3
WPR_R,Intensity AVG,[cps],3045944.9,74789536.6,121025044.8,124384.5,10634387.9,550399.3,3060411.6,1444651.3,26704694.4,14357369.5,39755404.7,3503588.2,610491.7,153348.9,375090.8,78642.2,66093
WMS_Q,Intensity AVG,[cps],2373671.1,1707192.4,60611535.3,57502.3,130967436.9,685214.6,802918,1424586.4,879135.8,7755533.5,143915653.8,25692132.8,4536851.7,119871.2,463601.7,82868.6,86531.9
BCR_P,Intensity AVG,[cps],139546029,10503786.7,303325235.8,651905.6,277732.5,1112792.6,11639464.5,4345172.2,148856.4,15680844.7,33409537,635431.7,1926.5,133676.4,431697.1,88631.8,81100.9
BHVO_O,Intensity AVG,[cps],269037780.6,57284698.6,813819114.2,1248628,364974.5,5275061,35884712.7,9941014.6,7540014.5,37612944.1,79024263.3,1970217.6,43617,224809.8,354006.9,74154.2,63841.9
Murchison_1000_3_N,Intensity AVG,[cps],945020.2,30183350.1,27279985.4,191396.6,162793.2,118044.4,270655.7,353042.2,13314976.3,8762455.1,37088915.1,4744622.9,896097.4,3374.7,362123.9,73050.2,66860.2
Murchison_800_3_M,Intensity AVG,[cps],3277021.8,26867054.5,23799834.6,182845.9,3825465.5,103962.5,232450,312091.5,11573718.8,7701807.2,32880045.4,4193444.9,800946.7,3813.6,348286.5,69521.2,64632
Murchison_600_3_L,Intensity AVG,[cps],4357075.8,34325811.7,30317335.2,234459.9,7149632.3,133105.8,300042.1,405567.4,14697805.7,9819663,42110746.7,5323910.6,992714.4,79024.1,342636.3,66188.4,65260.2
Murchison_400_3_K,Intensity AVG,[cps],2235304,17478014.1,15357261.3,115127.3,3871570.2,65525.7,141727,191306.6,7130653.5,4820602,20921378.5,2614786.2,510996.9,53299.3,327702.2,60475.5,62970.1
Murchison_1000_2_J,Intensity AVG,[cps],3088991.6,28321135.1,26741968.7,196848.4,229144.9,110164,255134.4,330248.1,12455276.2,8233936.8,35450579.2,4465932.7,832021.6,91310.2,299539.6,57055.2,58422.5
Murchison_800_2_I,Intensity AVG,[cps],2604986.2,22248901.1,19120167.4,140561.8,1205514.8,80780.1,181175.5,244859.1,9048713.6,6012277.5,25567574.9,3176170.6,602923.4,63074,273314.1,52275.2,52726.8
Murchison_600_2_H,Intensity AVG,[cps],2340120.9,19789443.2,17174195.4,125366,3779424.7,72056.3,156329.5,213559.9,7899890.8,5288439.8,22916880.5,2795085.8,539333.6,56448.3,263996.4,50162.7,53559.5
Murchison_400_2__G,Intensity AVG,[cps],3002336,25305511.8,22374517.8,164853.4,5736516.2,94379.6,209415.4,278072.1,10214593.6,6865670.8,29686727,3637749.3,687386,70207,254340.9,48005.2,53236.1
Murchison_1000_1_F,Intensity AVG,[cps],2248120,20891728,21314045,153782,153875.6,80045,173744.7,236894.8,9212195.4,6358102.8,27860425.1,3362123.9,635414.2,76796.7,236564.3,44162.8,49986.6
Murchison_800_1_E,Intensity AVG,[cps],1946191.1,19239590.5,20027015.5,142200,1574351.6,72605.9,160160,216528.4,8433478.2,5833571.6,25630126.3,3070519.8,571537.5,72719.9,221947.3,42331.1,48161.7
Murchison_600_1_D,Intensity AVG,[cps],1879939.1,18878687.3,19275805,137014.6,4305460.4,73519.5,154457.1,211340.7,8127005.7,5636695.7,24726993.3,2927188.9,556754.3,68229.9,207634.4,40338.6,46969.4
Murchison_400_1_C,Intensity AVG,[cps],1737373.3,17477811.4,17962884.7,127630.2,4209064.9,66255.5,141318.6,193299.9,7505882.9,5144041.2,22892405.7,2723569.8,513855.9,68191.8,189628.6,37434.8,43302.3
Murchison_Unheated_2_B,Intensity AVG,[cps],4266586.8,24820000.8,23837465.8,170737.6,5434404.5,96930.2,207105.9,277755,10208429.7,7071437,31608452.8,3797360.3,694435.4,71073.5,181495.9,36173.3,40381.7
Murchison_Unheated_1_A,Intensity AVG,[cps],3644535.1,20913326.8,20745434.2,145387.4,4655928.6,82746,177550.5,233150.2,8520414.1,5945087.4,26597342.6,3218042.4,591052.8,60534.8,159775,33645.2,37688.6
WASH,Intensity AVG,[cps],40088.9,21876.4,71646.8,191.2,7853.6,358.4,1179.9,625.6,10175.1,7350.8,30220.2,3603.6,636.7,72.2,268.1,27023.8,69.3